fen,game_id
4r3/p4r1k/4q3/2pp1p1p/2b1n1p1/Q3P1P1/P1R2PBP/B1R3K1 b - - 3 30,e15
4r3/pr5k/q7/2pp1p1p/2R1n1p1/4P1P1/PQ3PBP/B1R3K1 b - - 0 32,e15
4R3/p6k/q7/2pp1p1p/6p1/4P1P1/r4PBP/B1R3K1 b - - 0 34,e15
r1bqk2r/ppp1np1p/2B3p1/3p4/3NP3/8/PPP2PPP/RN1QK2R b KQkq - 0 8,e16
r1bqk2r/ppp2p1p/2N3p1/8/4p3/2N5/PPP2PPP/R2QK2R b KQkq - 0 10,e16
r1b1k2r/p1p2p1p/2p3p1/8/4N3/8/PPP2PPP/3RK2R b Kkq - 0 12,e16
3rk2r/p1p2p1p/2p3p1/5b2/8/6N1/PPP2PPP/3R1RK1 b k - 4 14,e16
4k2r/p1p2p1p/2p3p1/8/8/6N1/PPb2PPP/2R3K1 b k - 1 16,e16
4k2r/p1p2p1p/2p3p1/1b6/P7/1P4N1/5PPP/2R3K1 b k - 0 18,e16
7r/p1p1kp1p/2R3p1/8/P7/1P1b1PN1/6PP/6K1 b - - 0 20,e16
7r/p1pk1p1p/6p1/8/P7/1PR2P2/6PP/1b3NK1 b - - 4 22,e16
7r/p1pk1p1p/4b1p1/8/P3N3/1PR2P2/6PP/6K1 b - - 8 24,e16
7r/p4p1p/N1pkb1p1/8/P7/1PR2P2/6PP/6K1 b - - 3 26,e16
2r5/p4p1p/N1p1b1p1/3k4/PP6/5P2/6PP/2R3K1 b - - 2 28,e16
2r5/p4p1p/N1p3p1/R7/PP1k4/1b3P2/6PP/6K1 b - - 6 30,e16
8/p1r2p1p/2p3p1/R7/PPbkN3/5P2/6PP/6K1 b - - 10 32,e16
8/p1r4p/2pN2p1/RP3p2/P2k4/1b3P2/6PP/6K1 b - - 0 34,e16
r1bqkb1r/1p3ppp/p1nppn2/6B1/3NP3/2N2P2/PPPQ2PP/R3KB1R b KQkq - 0 8,e17
