fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
r1bq1rk1/pppnbppp/5n2/3p4/3P1B2/3B1N1P/PPP2PP1/RN1QR1K1 b - - 5 10,20,?,f8e8,-51,3,f8e8,0.2009,0.1927,0.1789,0.232,c7c5,c7c6,c7c6,c7c6,7.0,0.232,0.0311,False
r1bqrnk1/ppp1bppp/5n2/3p4/3P1B2/3B1N1P/PPP2PP1/R2QRNK1 b - - 9 12,24,?,c7c6,-49,0,f8g6,0.1129,0.221,0.3252,0.3461,f8g6,f8g6,f8g6,c7c6,0.0,0.3461,0.2332,False
r1bqr1k1/1pp1bppp/5nn1/p2p4/3P4/2PB1N1P/PP3PPB/R2QRNK1 b - - 0 14,28,?,e7d6,-41,2,e7d6,0.2001,0.177,0.1512,0.1653,e7d6,c7c6,c7c6,c7c6,4.0,0.2001,-0.0348,False
r1bqn1k1/1pp2ppp/3b2n1/p2p4/3P4/2PB1N1P/PPQ2PPB/R4NK1 b - - 1 16,32,?,e8f6,-34,3,d6h2,0.1036,0.1385,0.1606,0.1152,d6h2,d6h2,d6h2,d6h2,-3.0,0.1606,0.0116,False
r1bq2k1/1pp2ppp/3n2n1/p2p4/3P2N1/2PB1N1P/PPQ2PP1/R5K1 b - - 2 18,36,?,a5a4,-29,4,a5a4,0.0281,0.0202,0.0195,0.0387,c8g4,c8g4,c8g4,c8g4,8.0,0.0387,0.0106,False
r1bq2k1/1p3ppp/2pn2n1/3p4/p2P2N1/P1PB1N1P/1PQ2PP1/4R1K1 b - - 0 20,40,?,g6f8,-27,3,g6f8,0.0114,0.012,0.0184,0.0658,g6f4,c8g4,c8g4,c8g4,21.0,0.0658,0.0544,False
r2q1nk1/1p3ppp/2pnb3/3p4/p2P3P/P1PBNN2/1PQ2PP1/4R1K1 b - - 0 22,44,?,h7h5,-34,4,g7g6,0.0154,0.0121,0.0102,0.0213,b7b5,b7b5,d8f6,d8f6,-1.0,0.0213,0.0059,False
r2q1nk1/1p3p2/2pnb1p1/3pN2p/p2P3P/P1PBN1P1/1PQ2P2/4R1K1 b - - 1 24,48,?,d8f6,-26,6,d8f6,0.2024,0.3223,0.3718,0.2954,d8f6,d8f6,d8f6,g8g7,8.0,0.3718,0.093,False
r4nk1/1p3p2/2pn1qp1/3pNb1p/p2P1N1P/P1PB2P1/1PQ2P2/4R1K1 b - - 5 26,52,?,f5d3,-20,2,f5d3,0.3977,0.3874,0.3153,0.2309,f5d3,f5d3,f5d3,f5d3,0.0,0.3977,-0.1668,False
r5k1/1p3p2/2pnnqp1/3pN2p/p2P3P/P1PN2P1/1PQ2PK1/4R3 b - - 2 28,56,?,d6e4,-26,2,d6e4,0.2888,0.3297,0.3601,0.2967,d6e4,d6e4,d6e4,d6e4,0.0,0.3601,0.0079,False
