set,elo,fen,engine_best,rank
machine_unique,1500,rn2k2r/ppp1nppp/5q2/3P4/2B4b/2N4b/PPPPQ2N/R1B3RK b kq - 6 12,f6f2,
machine_unique,1500,r3kbnr/pp1b1ppp/2n1p3/3pP3/R2P4/2PBB3/1q3PPP/1N1QK1NR b Kkq - 4 10,a7a6,
machine_unique,1500,r2r2k1/1p4bp/2pNpnp1/p1P5/2NpP3/P6P/1P3PP1/R3K2R b KQ - 1 20,a5a4,
machine_unique,1500,2r3k1/1r5p/1P2p1p1/2b1N3/2Np1PPn/P6P/1P6/1K1R3R b - - 4 30,c8a8,
machine_unique,1500,5qk1/1p1Q3p/p2br1p1/3p4/P5R1/2PB3P/5PP1/6K1 b - - 2 30,e6e7,4.0
machine_unique,1500,r2qr1k1/1pp2pbp/p1n1bnp1/3p4/3P1B2/P1N1PN1P/1P2BPP1/2RQ1RK1 b - - 0 12,g7f8,
machine_unique,1500,r3r1k1/pp3ppp/5q2/2b5/P4Nnn/3B3R/1PPB4/R2Q1K2 b - - 3 22,f6d4,5.0
machine_unique,1500,8/1R6/p5pb/k2N4/4r1P1/8/PPP5/1K1R4 b - - 0 32,h6f8,4.0
machine_unique,1500,r1r5/1p1k1pp1/2q1p2p/P2pP3/5P2/8/3N2PP/QR5K b - - 0 24,a8a5,
machine_unique,1500,r1b1k2r/p4ppp/2pqp3/1p5Q/2p1P2P/P1Nn2P1/1P3PB1/3R1RK1 b kq - 1 18,e6e5,5.0
machine_unique,1500,kr6/5p1p/4bp2/2p2P2/3pR1P1/qP1P3P/1NP5/1K1R4 b - - 0 30,b8b3,5.0
machine_unique,1500,2r1kb1r/Nppn1ppp/4p3/4P3/1PB3b1/3PQ1P1/P1PB3q/R3K1R1 b Qk - 0 18,d7e5,3.0
machine_unique,1500,2r1kb1r/Nppn1ppp/4p3/4P3/1PB3b1/3PQ1P1/P1PB3q/R3K1R1 b Qk - 4 20,d7e5,3.0
machine_unique,1500,r2q1rk1/p3b3/1p2R1bp/3p1pp1/3P4/1QP3N1/PP1B1PPP/R5K1 b - - 1 22,d8d7,
machine_unique,1500,r4rk1/p3qb2/1p5R/3p2p1/3P1p2/1QP5/PP1B1PPP/4R1K1 b - - 1 26,e7e1,
machine_unique,1500,8/1bp1nk2/1q2pp2/1P1p2p1/3P3p/r1PNPN1P/2Q2PP1/5RK1 b - - 8 24,f7g7,
machine_unique,1500,8/1bp1nk2/q3pp2/2Np2p1/3P3p/r1P1PN1P/2Q2PP1/1R4K1 b - - 3 26,e7f5,
machine_unique,1500,r1b3k1/1p1p1r1p/pq2n2Q/5p2/2B2P1P/8/PB3RP1/3R2K1 b - - 1 22,a6a5,
