fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
5b1r/2krp1p1/p1qpQ2p/1pP2P2/1P6/4B3/P5PP/3R1R1K b - - 0 22,44,lRjkJLbh,d6d5,-556,15,d6d5,0.396,0.4477,0.5074,0.5652,d6d5,d6d5,d6d5,d6d5,0.0,0.5652,0.1692,False
5b1r/1k1rp1p1/p1q1Q2p/1pPp1P2/1P3B2/8/P5PP/3RR2K b - - 3 24,48,lRjkJLbh,c6e6,-569,14,g7g5,0.6171,0.6669,0.7066,0.7205,c6e6,c6e6,c6e6,c6e6,0.0,0.7205,0.1034,False
5bQ1/1k1rp2r/p1q4p/1pPpBPp1/1P6/8/P5PP/3RR2K b - - 3 26,52,lRjkJLbh,a6a5,-709,31,e7e6,0.0033,0.0029,0.0029,0.0033,e7e6,e7e6,e7e6,e7e6,67.0,0.0033,0.0,False
1Q6/1k1r3r/2q1p2p/ppPpBPp1/1P6/8/P5PP/3RR2K b - - 1 28,56,lRjkJLbh,b7a6,-780,0,b7a6,1.0,1.0,1.0,1.0,b7a6,b7a6,b7a6,b7a6,0.0,1.0,0.0,False
Q7/1r5r/k1q1p2p/PpPpBPp1/8/8/P5PP/3RR2K b - - 2 30,60,lRjkJLbh,b7a7,-1992,0,b7a7,1.0,1.0,1.0,1.0,b7a7,b7a7,b7a7,b7a7,0.0,1.0,0.0,False
3Q4/1r5r/k1q1p2p/PpPp1Pp1/3B4/8/P5PP/3RR2K b - - 6 32,64,lRjkJLbh,b7e7,-721,8,a6a7,0.0066,0.0055,0.0045,0.0038,e6f5,e6f5,e6f5,e6f5,1272.0,0.0066,-0.0028,True
r1bqk2r/ppp2ppp/2n5/1BbpP3/3Nn3/2P5/PP3PPP/RNBQK2R b KQkq - 0 8,16,oO6LSgeO,e8g8,95,86,e8g8,0.2648,0.3032,0.4227,0.6582,c8d7,c8d7,e8g8,e8g8,0.0,0.6582,0.3934,False
r1bq1rk1/p1p2ppp/2p5/2bpP3/3Nn3/2P5/PP3PPP/RNBQ1RK1 b - - 1 10,20,oO6LSgeO,f8e8,93,1,d8e8,0.1875,0.1692,0.1156,0.0813,f8e8,c5d4,c5d4,c5d4,113.0,0.1875,-0.1062,False
r3qrk1/p1p2ppp/b1p5/2bpP3/3Nn3/2P1B3/PP3PPP/RN1QR1K1 b - - 5 12,24,oO6LSgeO,e8e5,38,37,f7f5,0.7041,0.7255,0.7289,0.7549,e8e5,e8e5,e8e5,e8e5,0.0,0.7549,0.0508,False
r3qrk1/p1p3pp/Q1p5/2bpP3/3Nnp2/2P1B3/PP3PPP/RN2R1K1 b - - 0 14,28,oO6LSgeO,f4e3,165,334,f4e3,0.9005,0.9513,0.9734,0.9752,f4e3,f4e3,f4e3,f4e3,0.0,0.9752,0.0747,False
