fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
r2q1rk1/1p1n1pbp/2p1pnp1/p2p4/2P2P2/PP1P2P1/1BQ2PBP/RN3RK1 b - - 0 12,24,?,f6e8,-35,3,f8e8,0.0098,0.0122,0.014,0.0159,b7b5,d5c4,d5c4,f8e8,13.0,0.0159,0.0061,False
r3r1k1/1p1n1pbp/1qp1pnp1/p2p4/2P2P2/PP1P2P1/1BQN1PBP/1R3RK1 b - - 4 14,28,?,e6e5,-38,16,d7c5,0.0681,0.0586,0.0514,0.0532,d7c5,d7c5,a8c8,a8c8,25.0,0.0681,-0.0149,False
r3r1k1/1p1n1pBp/1qp1p1p1/p1np4/2P2P2/PP1P2P1/2QN1PBP/1R2R1K1 b - - 0 16,32,?,g8g7,-153,360,g8g7,0.9994,0.9998,0.9999,1.0,g8g7,g8g7,g8g7,g8g7,0.0,1.0,0.0006,False
r3r3/1p1n1pkp/1qp1p1p1/2np4/1PP2P2/3P2P1/2QN1PBP/1R2R1K1 b - - 0 18,36,?,c5a6,-146,72,c5a6,0.3793,0.498,0.574,0.6104,c5a4,c5a6,c5a6,c5a6,0.0,0.6104,0.2311,False
r3r3/1pnn1pkp/1qP1p1p1/3p4/2P2P2/3P2P1/2QN1PBP/1R2R1K1 b - - 0 20,40,?,b6c6,-202,261,b6c6,0.9415,0.9567,0.9601,0.9557,b6c6,b6c6,b6c6,b6c6,0.0,0.9601,0.0142,False
r3r1k1/1Qnn1p1p/2q1p1p1/3p4/2P2P2/3P2P1/3N1PBP/1R2R1K1 b - - 0 22,44,?,c6d6,-226,15,c6b7,0.0949,0.1432,0.2052,0.2719,c6b7,c6b7,c6b7,c6b7,19.0,0.2719,0.177,False
2r1r1k1/1Rnn1p1p/4p1p1/3p4/2P2P2/1N1P2P1/5PBP/4R1K1 b - - 2 24,48,?,d7f6,-121,43,d5c4,0.1799,0.2608,0.3381,0.3573,d5c4,d5c4,d5c4,d7f6,0.0,0.3573,0.1774,False
2r1r1k1/1Rn2p1p/4pnp1/8/2P2P2/1N4P1/5PBP/2R3K1 b - - 2 26,52,?,c8b8,-123,41,c7a6,0.0221,0.0163,0.012,0.0144,c7a6,c7a6,c7a6,c7a6,63.0,0.0221,-0.0077,False
4r1k1/2r2p1p/nR2pnp1/2P5/5P2/1N4P1/5PBP/2R3K1 b - - 2 28,56,?,a6b8,-338,41,a6b8,0.6728,0.7611,0.8435,0.9035,a6b8,a6b8,a6b8,a6b8,0.0,0.9035,0.2307,False
1nr3k1/2r2p1p/1RP1pnp1/8/3N1P2/6P1/5PBP/2R3K1 b - - 0 30,60,?,f6d7,-367,1,f6d5,0.1378,0.1303,0.11,0.0817,f6d5,f6d5,f6d5,f6d5,1.0,0.1378,-0.0561,False
1nr3k1/2r2p1p/1RP3p1/2Rp4/3N1P2/6P1/5P1P/6K1 b - - 1 32,64,?,c7a7,-359,8,g8f8,0.0372,0.0275,0.0229,0.0253,b8d7,b8d7,g8f8,g8f8,11.0,0.0372,-0.0119,False
2r2k2/2r2p1p/1RN3p1/3R4/5P2/6P1/5P1P/6K1 b - - 0 34,68,?,c7c6,-18,424,c7c6,0.8906,0.9372,0.9706,0.978,c7c6,c7c6,c7c6,c7c6,0.0,0.978,0.0874,False
r1b1kb1r/ppp2p2/2nppq1p/6p1/3PP3/2N2P2/PPPQ2PP/2KR1BNR b kq - 0 8,16,?,c8d7,27,6,c8d7,0.1296,0.22,0.2624,0.1944,f8g7,f8g7,f8g7,f8g7,0.0,0.2624,0.0648,False
2kr1b1r/pppb1p2/2nppq1p/6p1/3PP3/2N2P2/PPPQN1PP/1K1R1B1R b - - 4 10,20,?,f8g7,27,2,c8b8,0.2704,0.3937,0.5691,0.6738,f8g7,f8g7,f8g7,f8g7,0.0,0.6738,0.4034,False
1k1r3r/pppb1pb1/2nppq1p/6p1/3PP3/1NN2P2/PPPQ2PP/1K1R1B1R b - - 8 12,24,?,a7a6,14,3,a7a6,0.0823,0.0925,0.1091,0.0986,e6e5,e6e5,f6e7,f6e7,22.0,0.1091,0.0163,False
1kbr3r/1pp2pb1/p1nppq1p/6p1/3PP3/1NN2PP1/PPPQB2P/1K1R3R b - - 0 14,28,?,f6g6,38,4,h6h5,0.0469,0.0528,0.064,0.0683,e6e5,e6e5,f6e7,f6e7,50.0,0.0683,0.0214,False
1kbr3r/1pp2pb1/p1nppq2/6p1/3PP1Pp/1NN2P2/PPPQB2P/1K1R1R2 b - - 0 16,32,?,f6f4,46,5,f6e7,0.1022,0.1554,0.2092,0.245,e6e5,e6e5,f6f4,f6f4,0.0,0.245,0.1428,False
1kbr3r/1pp1q1b1/p1npp3/5pp1/3PP1Pp/1NN1QP1P/PPP1B3/1K1R1R2 b - - 1 18,36,?,d8f8,24,10,f5e4,0.0109,0.0089,0.0089,0.0169,f5f4,f5f4,f5f4,f5f4,25.0,0.0169,0.006,False
1kbr3r/1pp1q3/p1npp2b/6p1/3PN1Pp/1N2QP1P/PPP1B3/1K1RR3 b - - 2 20,40,?,h8e8,76,1,h8f8,0.0302,0.0341,0.0498,0.0799,d6d5,d6d5,d6d5,h8f8,1.0,0.0799,0.0497,False
